bin,name,contig count,bin name
Ga0081644,Acidovora-69x,445,Acidovora-69x_Ga0081644
Ga0081609,Acidovorax-123,18,Acidovorax-123_Ga0081609
Ga0081613,Acidovorax-127,60,Acidovorax-127_Ga0081613
Ga0081621,Acidovorax-21,446,Acidovorax-21_Ga0081621
Ga0081645,Acidovorax-75,268,Acidovorax-75_Ga0081645
Ga0081651,Acidovorax-79,98,Acidovorax-79_Ga0081651
Ga0081659,Acidovorax-98,359,Acidovorax-98_Ga0081659
Ga0081620,Bacteria-21,254,Bacteria-21_Ga0081620
Ga0081656,Bacteriovora-8x,290,Bacteriovora-8x_Ga0081656
Ga0081619,Bacteriovorax-21,52,Bacteriovorax-21_Ga0081619
Ga0081630,Bacteriovorax-49,377,Bacteriovorax-49_Ga0081630
Ga0081639,Bacteriovorax-63,9,Bacteriovorax-63_Ga0081639
Ga0081628,Bacteroidetes-49,70,Bacteroidetes-49_Ga0081628
Ga0081646,Bacteroidetes-76,251,Bacteroidetes-76_Ga0081646
Ga0081654,Bacteroidetes-8,343,Bacteroidetes-8_Ga0081654
Ga0081616,Burkholderiales-129,384,Burkholderiales-129_Ga0081616
Ga0081635,Burkholderiales-55,53,Burkholderiales-55_Ga0081635
Ga0081648,Burkholderiales-76,107,Burkholderiales-76_Ga0081648
Ga0081632,Flavobacteriaceae-49,223,Flavobacteriaceae-49_Ga0081632
Ga0081652,Flavobacteriaceae-79-1,207,Flavobacteriaceae-79-1_Ga0081652
Ga0081653,Flavobacteriaceae-79-2,261,Flavobacteriaceae-79-2_Ga0081653
Ga0081657,Methylobacte-98r,126,Methylobacte-98r_Ga0081657
Ga0081614,Methylobacter tundripaludum-129,87,Methylobacter_tundripaludum-129_Ga0081614
Ga0081607,Methylobacter-123,260,Methylobacter-123_Ga0081607
Ga0081641,Methylobacter-69,180,Methylobacter-69_Ga0081641
Ga0081623,Methylococcaceae-21,554,Methylococcaceae-21_Ga0081623
Ga0081636,Methylococcaceae-55,54,Methylococcaceae-55_Ga0081636
Ga0081624,Methylophilaceae-40,240,Methylophilaceae-40_Ga0081624
Ga0081626,Methylophilaceae-49,201,Methylophilaceae-49_Ga0081626
Ga0081637,Methylophilaceae-55,24,Methylophilaceae-55_Ga0081637
Ga0081655,Methylophilaceae-8,335,Methylophilaceae-8_Ga0081655
Ga0081611,Methylophilus methylotrophus-127-1,142,Methylophilus_methylotrophus-127-1_Ga0081611
Ga0081612,Methylophilus methylotrophus-127-2,227,Methylophilus_methylotrophus-127-2_Ga0081612
Ga0081617,Methylophilus methylotrophus-129-1,115,Methylophilus_methylotrophus-129-1_Ga0081617
Ga0081618,Methylophilus methylotrophus-129-2,87,Methylophilus_methylotrophus-129-2_Ga0081618
Ga0081633,Methylophilus methylotrophus-55,17,Methylophilus_methylotrophus-55_Ga0081633
Ga0081642,Methylophilus methylotrophus-69,31,Methylophilus_methylotrophus-69_Ga0081642
Ga0081650,Methylophilus methylotrophus-79,17,Methylophilus_methylotrophus-79_Ga0081650
Ga0081658,Methylophilus methylotrophus-98,31,Methylophilus_methylotrophus-98_Ga0081658
Ga0081634,Methylosarcina lacus-55,443,Methylosarcina_lacus-55_Ga0081634
Ga0081643,Methylosarcina lacus-69,217,Methylosarcina_lacus-69_Ga0081643
Ga0081622,Methylosarcina-21,409,Methylosarcina-21_Ga0081622
Ga0081608,Methylotenera mobilis-123,300,Methylotenera_mobilis-123_Ga0081608
Ga0081629,Methylotenera mobilis-49,222,Methylotenera_mobilis-49_Ga0081629
Ga0081627,Methylotenera mobilis-49,226,Methylotenera_mobilis-49_Ga0081627
Ga0081640,Methylotenera mobilis-63,291,Methylotenera_mobilis-63_Ga0081640
Ga0081647,Methylotenera mobilis-76-1,208,Methylotenera_mobilis-76-1_Ga0081647
Ga0081649,Methylotenera mobilis-76-2,409,Methylotenera_mobilis-76-2_Ga0081649
Ga0081638,Methylovulum miyakonense-55,333,Methylovulum_miyakonense-55_Ga0081638
Ga0081625,Opititae-40,24,Opititae-40_Ga0081625
Ga0081615,Opitutae-129,193,Opitutae-129_Ga0081615
Ga0081610,Rhodocyclaceae-127,360,Rhodocyclaceae-127_Ga0081610
Ga0081631,Rhodocyclaceae-49,190,Rhodocyclaceae-49_Ga0081631
